Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Population, total [SP.POP.TOTL]"
2021,YR2021,Afghanistan,AFG,355.777826392648,1211676168.75713,40099462
2021,YR2021,Albania,ALB,6377.20309553753,1103656986.08964,2811666
2021,YR2021,Algeria,DZA,3700.31469728198,43397075765.3386,44177969
2021,YR2021,American Samoa,ASM,16653.7137781725,65000000,45035
2021,YR2021,Andorra,AND,42072.3194231234,..,79034
2021,YR2021,Angola,AGO,1927.47407832091,4349776656.51965,34503774
2021,YR2021,Antigua and Barbuda,ATG,17178.5437160522,44459259.2592593,93219
2021,YR2021,Argentina,ARG,10650.8604604345,76959010333.8702,45808747
2021,YR2021,Armenia,ARM,4972.78320361917,1531064374.6154,2790974
2021,YR2021,Aruba,ABW,29127.7593841909,..,106537
2021,YR2021,Australia,AUS,60697.2454358579,86051696098.6485,25685412
2021,YR2021,Austria,AUT,53517.8904509612,81119876348.2933,8955797
2021,YR2021,Azerbaijan,AZE,5408.04535175023,3519294117.64706,10137750
2021,YR2021,"Bahamas, The",BHS,28260.4325506367,163900000,407906
2021,YR2021,Bahrain,BHR,26850.0033915702,8071759574.46809,1463265
2021,YR2021,Bangladesh,BGD,2457.92403936141,88396631808.7319,169356251
2021,YR2021,Barbados,BRB,17507.4679943101,244100000,281200
2021,YR2021,Belarus,BLR,7489.71894713888,15856696898.9729,9302585
2021,YR2021,Belgium,BEL,51850.3971840229,72372234395.7353,11586195
2021,YR2021,Belize,BLZ,6060.96822340845,165486893.87172,400031
2021,YR2021,Benin,BEN,1360.91147421492,1676745645.12877,12996895
2021,YR2021,Bermuda,BMU,111774.669092278,25244000,63764
2021,YR2021,Bhutan,BTN,3560.19770457687,199965669.952989,777486
2021,YR2021,Bolivia,BOL,3345.02300226194,4334302944.5858,12079472
2021,YR2021,Bosnia and Herzegovina,BIH,7230.19883771887,3305323033.41909,3270943
2021,YR2021,Botswana,BWA,7238.79609753108,980194776.138616,2588423
2021,YR2021,Brazil,BRA,7696.78483012849,168641448438.854,214326223
2021,YR2021,British Virgin Islands,VGB,..,..,31122
2021,YR2021,Brunei Darussalam,BRN,31448.9127482937,2593216808.66374,445373
2021,YR2021,Bulgaria,BGR,12219.3418706779,..,6877743
